question,answer_text,distractor
What 'S the main idea of the text ?,The lack of career -- based courses in US high schools,"'The paucity of career -- based courses in US high schools', 'The lack of career -- overseen courses in US high schools'"
"In the summer high season , Finland does nt seem to sleep because",the sun is out at night,"'the galaxy is out at night', 'the sun was out at night'"
"If you want to apply for Chinese Business Internship program successfully , you 'll",have to get confirmed at least twice,"'have to get confirmed at least twice', ''ve to get confirmed at least twice'"
"That afternoon , the boy 's clothes were dry because",nobody made room for him in the water .,"'somebody made room for him in the water .', 'nobody aquired room for him in the water .'"
Which of the following statements is NOT true ?,There are twelve countries in the World Wildlife Fund .,"'There are twelve nationalities in the World Wildlife Fund .', 'There were twelve countries in the World Wildlife Fund .'"
"The problem of "" lock - in "" can be dangerous because",it may make it difficult for customers to recover their data,"'it may make it difficult for subscribers to recover their data', 'it may find it difficult for customers to recover their data'"
The passage is mainly about,how Billy made blueberry juice with his uncle,"'how truncheon made blueberry juice with his uncle', 'how Billy aquired blueberry juice with his uncle'"
Which of the following in not true ?,The snail 's teeth ca n't be worn out ..,"'The goby 's teeth ca n't be worn out ..', 'The snail 's teeth ca n't been worn out ..'"
What should you do at mealtime ?,Eat the food your host family gives you .,"'feed the food your host family gives you .', 'Eat the food your host family removes you .'"
"The part of "" Only you can make a card like this one "" is to tell the readers",how to make a meaningful DIY card,"'how to make a meaningful DIY ticker', 'how to find a meaningful DIY card'"
Why does Ben Brauch love his job of Santa impersonator ?,Because he enjoys playing with children .,"'Because he enjoys playing with hairdressers .', 'Because he cultivates playing with children .'"
Who is a blogger ?,A person who posts text or photos in a blog .,"'A addressee who posts text or photos in a blog .', 'A person who instructions text or photos in a blog .'"
"According to the passage , Charles Darwin 's whole life was changed by",the voyage of the Beagle,"'the procession of the Beagle', 'the voyage of the Beagle'"
What did Fly do when he pulled a piece of meat ?,He pulled a plate to the floor .,"'He pulled a pyramid to the floor .', 'He picked a plate to the floor .'"
What can we learn from the passage ?,Learn to forgive others and remember to be thankful to others .,"'memorize to forgive others and remember to be thankful to others .', 'Learn to annoy others and remember to be thankful to others .'"
It can be inferred from the passage that advertisements can be useful if they,give true information about goods,"'give true content about goods', 'find true information about goods'"
The downfall of the Arthur Andersen accounting firm is due to,its dishonesty in business,"'its recklessness in business', 'its dishonesty in business'"
Which is wrong ?,Li Yun can sing very well .,"'lithium Yun can sing very well .', 'Li Yun can rejoice very well .'"
